ARTEFACT	Artifact;Unknown;Unknown;Unknown
SINE/tRNA-Sauria-RTE	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-Sauria-RTE-end
SINE/tRNA-Sauria	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-Sauria
SINE/tRNA-V-Core-L2	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-V_and_MIR-L2-end
SINE/tRNA-V-CR1	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-V-CR1-end
SINE/tRNA-V-L2	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-V-L2-end
SINE/tRNA-V-RTE	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-V-RTE-end
SINE/tRNA-V	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-V
SINE/Ceph	Class_I;SINE;SINE-Unknown_Promoter;SINE-Ceph-RTE-end
SINE/Core-RTE	Class_I;SINE;SINE-Unknown_Promoter;SINE-MIR-RTE-end
SINE/Core	Class_I;SINE;SINE-Unknown_Promoter;SINE-MIR
SINE/U-L1	Class_I;SINE;SINE-U-RNA_Promoter;SINE-U-L1
SINE/U	Class_I;SINE;SINE-U-RNA_Promoter;SINE-U
snRNA	Pseudogene;RNA;snRNA;Unknown
tRNA	Pseudogene;RNA;tRNA;Unknown
Unknown/TATE	Class_I;Tyrosine_Recombinase_Retrotransposon;Viper-group;TATE
Unknown	Unknown;Unknown;Unknown;Unknown
Unknown/Unknown	Unknown;Unknown;Unknown;Unknown
Unknown/centr	DFAM-Unknown_Centromeric;Unknown;Unknown;Unknown
TIR/Unknown	Class_II;Unknown;Unknown;Unknown
TIR/MITE	Class_II;MITE;Unknown;Unknown
TIR/EnSpm_CACTA	Class_II;Transposase;CACTA;EnSpm
TIR/hAT	Class_II;Transposase;hAT;Unknown
TIR/Kolobok	Class_II;Transposase;Kolobok;Unknown
TIR/Academ	Class_II;Transposase;Academ;Unknown
TIR/Ginger	Class_II;Transposase;Ginger;Unknown
TIR/Merlin	Class_II;Transposase;Merlin;Merlin
TIR/Transib	Class_II;Transposase;CACTA;Transib
TIR/Zator	Class_II;Transposase;Zator;Zator
TIR/MuDR_Mutator	Class_II;Transposase;MULE;MULE-MuDR
TIR/Novosib	Class_II;Transposase;Novosib;Novosib
TIR/P	Class_II;Transposase;P_Element;Unknown
TIR/PIF_Harbinger	Class_II;Transposase;PIF-Harbinger;PIF-Harbinger
TIR/PiggyBac	Class_II;Transposase;PiggyBac_Group;PiggyBac
TIR/Sola1	Class_II;Transposase;Sola;Sola-1
TIR/Sola2	Class_II;Transposase;Sola;Sola-2
TIR/Sola3	Class_II;Transposase;Sola;Sola-3
TIR/Tc1_Mariner	Class_II;Transposase;Tc1-Mariner;Unknown
Helitron/Unknown	Class_II;Helicase;Helitron;Unknown
pararetrovirus/Unknown	Class_I;LTR;ERV;Caulimovirus
LTR/Bel-Pao	Class_I;LTR;Bel-Pao;Bel-Pao
DIRS/Unknown	Class_I;Tyrosine_Recombinase_Retrotransposon;DIRS;Unknown
mixture/mixture	mixture;mixture;mixture;mixture
mixture/Unknown	mixture;Unknown;Unknown;Unknown
LTR/mixture	Class_I;LTR;LTR-mixture;LTR-mixture
LTR/Retrovirus	Class_I;LTR;ERV;Unknown
TIR/mixture	Class_II;DNA-mixture;DNA-mixture;DNA-mixture
LINE/mixture	Class_I;LINE;LINE-mixture;LINE-mixture
Maverick/Unknown	Class_II;DNA_Polymerase;Maverick;Unknown
Penelope/Unknown	Class_I;PLE;Penelope;Penelope
